source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Prices_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Prices_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Stocks,Stocks,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 21 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Yield/Carcass Weight,Yield/Carcass Weight,g/An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 35 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Laying,Laying,1000 An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 3 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Production,Production,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 280 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Yield,Yield,kg/ha,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 171 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Milk Animals,Milk Animals,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 6 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Producing Animals/Slaughtered,Producing Animals/Slaughtered,An,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 39 distinct items"
FAO,Production_Crops_Livestock_E_All_Data_(Normalized).csv,Area harvested,Area harvested,ha,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 169 distinct items"
FAO,Production_Crops_Livestock_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Production_Crops_Livestock_E_Elements.csv,Stocks,Stocks,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Extraction Rate,Extraction Rate,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Prod Popultn,Prod Popultn,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Yield/Carcass Weight,Yield/Carcass Weight,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Laying,Laying,,long (Element per row),"File structure: Element Code, Element..."
