source,file,indicator_code,indicator_name,unit,data_format,notes,name_lower
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand US$),Gross Production Value (constant 2014-2016 thousand US$),,long (Element per row),"File structure: Element Code, Element...",gross production value (constant 2014-2016 thousand us$)
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand I$),Gross Production Value (constant 2014-2016 thousand I$),,long (Element per row),"File structure: Element Code, Element...",gross production value (constant 2014-2016 thousand i$)
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (current thousand SLC),Gross Production Value (current thousand SLC),,long (Element per row),"File structure: Element Code, Element...",gross production value (current thousand slc)
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (current thousand US$),Gross Production Value (current thousand US$),,long (Element per row),"File structure: Element Code, Element...",gross production value (current thousand us$)
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand SLC),Gross Production Value (constant 2014-2016 thousand SLC),,long (Element per row),"File structure: Element Code, Element...",gross production value (constant 2014-2016 thousand slc)
FAO,Value_of_Production_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Value_of_Production_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item...",item code
FAO,Value_of_Production_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item...",cpc code
FAO,Value_of_Production_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item...",item
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Total_Revenue_Excluding_Grants,Total_Revenue_Excluding_Grants,,wide,Sheet type: UNUWIDERGRD_2025::Merged,total_revenue_excluding_grants
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Total_Revenue_Excluding_Grants1,Total_Revenue_Excluding_Grants1,,wide,Sheet type: UNUWIDERGRD_2025::Merged,total_revenue_excluding_grants1
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_Excluding_SC,Taxes_Excluding_SC,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_excluding_sc
UNU-WIDER,UNUWIDERGRD_2025 - Merged,NonResource_Tax_Excluding_SC,NonResource_Tax_Excluding_SC,,wide,Sheet type: UNUWIDERGRD_2025::Merged,nonresource_tax_excluding_sc
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Direct_Taxes_Excluding_SC,Direct_Taxes_Excluding_SC,,wide,Sheet type: UNUWIDERGRD_2025::Merged,direct_taxes_excluding_sc
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Direct_Taxes_Excluding_SC1,Direct_Taxes_Excluding_SC1,,wide,Sheet type: UNUWIDERGRD_2025::Merged,direct_taxes_excluding_sc1
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Indirect_Taxes_Total,Indirect_Taxes_Total,,wide,Sheet type: UNUWIDERGRD_2025::Merged,indirect_taxes_total
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Indirect_Taxes_Resource_Component,Indirect_Taxes_Resource_Component,,wide,Sheet type: UNUWIDERGRD_2025::Merged,indirect_taxes_resource_component
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Indirect_Taxes_NonResource_Component,Indirect_Taxes_NonResource_Component,,wide,Sheet type: UNUWIDERGRD_2025::Merged,indirect_taxes_nonresource_component
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_Goods_and_Services_Total,Taxes_on_Goods_and_Services_Total,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_goods_and_services_total
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_Goods_and_Services_ow_General_Sales_VAT_Turnover_TFCT,Taxes_on_Goods_and_Services_ow_General_Sales_VAT_Turnover_TFCT,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_goods_and_services_ow_general_sales_vat_turnover_tfct
